Iter, Clock_time, Time, Max_vel, Max_density, Mass, PE_tot, BPE_tot, BPE_from_int, Max_diss, Diss_tot, Max_u, KE_x, Max_w, KE_z, Enst_y_tot, Max_vort_y
28, 3.31195766999999974e-01, 9.57802854938271886e-01, 4.32752391831915384e-02, 5.00185205055060731e-03, 5.00250001920761008e+02, 1.22684069397770190e+03, 1.22631331199458486e+03, 1.74245892706298434e-06, 6.64559110220317665e-03, 6.27442802000940648e-05, 4.32751943783854370e-02, 6.92449249413353528e-03, 3.02602979915164785e-02, 1.55550400450302651e-02, 1.56860700500235234e-02, 1.56071801494393214e+00
29, 3.35429219000000001e-01, 9.78901427469136109e-01, 4.42039620788140866e-02, 5.00194620530014771e-03, 5.00250001920761008e+02, 1.22683969587011188e+03, 1.22631331063751213e+03, 1.81912629148000770e-06, 6.61967482189301099e-03, 6.39040644254457624e-05, 4.42038154606419070e-02, 7.23205177786236369e-03, 3.08980110147185384e-02, 1.62443581066801061e-02, 1.59760161063614362e-02, 1.58052110052900385e+00
30, 3.39803787000000024e-01, 1.00000000000000044e+00, 4.51215240513335100e-02, 5.00194949218415140e-03, 5.00250001920760951e+02, 1.22683867614863925e+03, 1.22631330924513804e+03, 1.89732286732837929e-06, 6.65063782611662133e-03, 6.51098029989973225e-05, 4.51212019564309758e-02, 7.54642033087181852e-03, 3.15424681937275520e-02, 1.69484613173642509e-02, 1.62774507497493032e-02, 1.59078352105127019e+00
31, 4.20448049000000101e-01, 1.02083333333333370e+00, 4.61089782840433393e-02, 5.00190915931327234e-03, 5.00250001920761122e+02, 1.22683764805135615e+03, 1.22631330777217408e+03, 1.97602317260403656e-06, 7.17034122166411263e-03, 6.63448316750927538e-05, 4.61088720182890946e-02, 7.86352851891846880e-03, 3.21919585720997284e-02, 1.76581960571888553e-02, 1.65862079187731881e-02, 1.59443993546758600e+00
32, 4.24724502000000004e-01, 1.04123263888888928e+00, 4.70527778779064459e-02, 5.00201698123927882e-03, 5.00250001920760951e+02, 1.22683662097823253e+03, 1.22631330631923447e+03, 2.05450164694209611e-06, 7.57943221488661771e-03, 6.75964107862800541e-05, 4.70527662094886168e-02, 8.18048373577058563e-03, 3.28193511016892508e-02, 1.83670649881150713e-02, 1.68991026965699849e-02, 1.61632655282458559e+00
33, 4.29118095999999949e-01, 1.06163194444444486e+00, 4.79737219146036606e-02, 5.00203721410607486e-03, 5.00250001920760894e+02, 1.22683557373867052e+03, 1.22631330483435795e+03, 2.13436982979535037e-06, 7.86769408412964048e-03, 6.88896044227278888e-05, 4.79737131195211927e-02, 8.50383537990084294e-03, 3.34626649614916602e-02, 1.90896825192897815e-02, 1.72224011056819649e-02, 1.63613913664310262e+00
34, 4.33359662999999951e-01, 1.08159722222222254e+00, 4.88526283318542962e-02, 5.00209296235138313e-03, 5.00250001920760837e+02, 1.22683452926695054e+03, 1.22631330330895071e+03, 2.21387077676341933e-06, 8.02236822788912098e-03, 7.01952231329829035e-05, 4.88525500078919872e-02, 8.82651187895110156e-03, 3.40803432303037612e-02, 1.98102126886769286e-02, 1.75488057832457224e-02, 1.67842445484850100e+00
35, 4.37657287000000061e-01, 1.10113770685579238e+00, 4.96905413178301975e-02, 5.00233750354338227e-03, 5.00250001920761008e+02, 1.22683348833921468e+03, 1.22631330175420726e+03, 2.29294288655865765e-06, 8.05457236107716933e-03, 7.15109771669036518e-05, 4.96903329848948500e-02, 9.14827727875161187e-03, 3.46693528250804142e-02, 2.05281151879517371e-02, 1.78777442917259083e-02, 1.71364355171044469e+00
36, 4.42014602000000090e-01, 1.12067819148936221e+00, 5.05607511749389671e-02, 5.00248019498159176e-03, 5.00250001920761122e+02, 1.22683242894734531e+03, 1.22631330017941764e+03, 2.37325174302048398e-06, 8.03189284193892017e-03, 7.28640322190624051e-05, 5.05605298977677420e-02, 9.47594425986508955e-03, 3.52676760901253078e-02, 2.12585579995494059e-02, 1.82160080547656145e-02, 1.73790193455932429e+00
37, 4.46248896000000062e-01, 1.13979388297872397e+00, 5.14525111676648397e-02, 5.00250696759700630e-03, 5.00250001920760610e+02, 1.22683137473321995e+03, 1.22631329868960574e+03, 2.45299834961488102e-06, 8.62881924611104585e-03, 7.42234273483401570e-05, 5.14524547332139287e-02, 9.80220981423425217e-03, 3.58638812350872763e-02, 2.19852299937308808e-02, 1.85558568370850219e-02, 1.76730173014070768e+00
38, 4.50510692000000046e-01, 1.15849401595744728e+00, 5.22996920911401042e-02, 5.00241655290138264e-03, 5.00250001920760837e+02, 1.22683032636579856e+03, 1.22631329720587155e+03, 2.53213111690038763e-06, 9.11001469067411127e-03, 7.55871935595777149e-05, 5.22996915107400498e-02, 1.01268694838825505e-02, 3.64376094957947275e-02, 2.27076667260589712e-02, 1.88967983898943974e-02, 1.79884848471195880e+00
39, 4.54883857000000003e-01, 1.17678762430619832e+00, 5.31041068051951448e-02, 5.00231014341418530e-03, 5.00250001920760837e+02, 1.22682928446563346e+03, 1.22631329576507142e+03, 2.61060299846001016e-06, 9.46340166705993482e-03, 7.69535818327766265e-05, 5.31040763279592015e-02, 1.04497331802255386e-02, 3.69958676505855871e-02, 2.34254378957316385e-02, 1.92383954581941789e-02, 1.82783941917235082e+00
40, 4.59130083999999994e-01, 1.19468354551693312e+00, 5.38670595760031082e-02, 5.00257672437023643e-03, 5.00250001920760951e+02, 1.22682824960736070e+03, 1.22631329434915597e+03, 2.68837129414365405e-06, 9.69010062645715535e-03, 7.83210366449135418e-05, 5.38669275399723049e-02, 1.07706244122270749e-02, 3.75478722113762806e-02, 2.41381456104733418e-02, 1.95802591612283701e-02, 1.85431834102367588e+00
41, 4.63348398000000050e-01, 1.21219042496221707e+00, 5.45893840894311616e-02, 5.00280170394246364e-03, 5.00250001920760781e+02, 1.22682722232207288e+03, 1.22631329291576094e+03, 2.76539728500603725e-06, 9.80321108913907550e-03, 7.96881586845141237e-05, 5.45890851269757726e-02, 1.10893795502893609e-02, 3.80739279474163958e-02, 2.48454227115423240e-02, 1.99220396711285164e-02, 1.87836758914605761e+00
42, 4.67650068999999946e-01, 1.22931672007173409e+00, 5.53617891260753739e-02, 5.00293115155299797e-03, 5.00250001920760837e+02, 1.22682620309959475e+03, 1.22631329147595011e+03, 2.84164593260985165e-06, 9.82480229304741499e-03, 8.10536704343812271e-05, 5.53616002296820273e-02, 1.14058471298161442e-02, 3.86092123568687329e-02, 2.55469311719642329e-02, 2.02634176085953084e-02, 1.90010413051247973e+00
43, 4.71792781000000105e-01, 1.24644301518125111e+00, 5.61445631303676765e-02, 5.00296122370301553e-03, 5.00250001920760837e+02, 1.22682516977726664e+03, 1.22631329006600618e+03, 2.91877272655472724e-06, 1.02026142606408462e-02, 8.24470407727005694e-05, 5.61445176712771082e-02, 1.17269159717320378e-02, 3.91436905042347946e-02, 2.62579174488514096e-02, 2.06117601931751181e-02, 1.92007645533087667e+00
44, 4.75989735000000080e-01, 1.26356931029076813e+00, 5.69010875685131076e-02, 5.00288880956032637e-03, 5.00250001920761122e+02, 1.22682412236833784e+03, 1.22631328867190268e+03, 2.99676801535887300e-06, 1.07422531525823272e-02, 8.38682463209949094e-05, 5.69010875684795442e-02, 1.20525967009646774e-02, 3.96684195096882949e-02, 2.69783572354471528e-02, 2.09670615802487609e-02, 1.93832554520774991e+00
45, 4.80142144999999965e-01, 1.28069560540028515e+00, 5.76307620933754067e-02, 5.00289120523393898e-03, 5.00250001920761065e+02, 1.22682306088660357e+03, 1.22631328732034422e+03, 3.07562121637820161e-06, 1.11830639276263594e-02, 8.53171721874659828e-05, 5.76307186458265078e-02, 1.23829002768608143e-02, 4.01831485426549367e-02, 2.77082252761030740e-02, 2.13292930468665272e-02, 1.95492482189435357e+00
46, 4.84625547000000045e-01, 1.29742361457702260e+00, 5.83166173935676935e-02, 5.00301928261196599e-03, 5.00250001920760951e+02, 1.22682201051854986e+03, 1.22631328611182903e+03, 3.15345686695714552e-06, 1.15133849717036652e-02, 8.67589564217163324e-05, 5.83164495849414072e-02, 1.27099960438928246e-02, 4.06796657980693574e-02, 2.84301964066367256e-02, 2.16897391054291025e-02, 1.96964411090130032e+00
47, 4.88795219999999975e-01, 1.31376260028453373e+00, 5.89597281861409181e-02, 5.00301050990224327e-03, 5.00250001920760724e+02, 1.22682097164305378e+03, 1.22631328486894222e+03, 3.23024995951804712e-06, 1.17449837521902429e-02, 8.81923851927068989e-05, 5.89593606143722707e-02, 1.30337634812286423e-02, 4.11699529024410552e-02, 2.91440125602689566e-02, 2.20480962981767226e-02, 1.98270229040811752e+00
48, 4.93036287000000017e-01, 1.33010158599204487e+00, 5.96917203156547421e-02, 5.00303086382520874e-03, 5.00250001920761179e+02, 1.22681991999865249e+03, 1.22631328344622148e+03, 3.30779248116714803e-06, 1.18988524964592883e-02, 8.96506205975646409e-05, 5.96915583191776067e-02, 1.33617697253286365e-02, 4.16873043611657654e-02, 2.98663376366601827e-02, 2.24126551493911697e-02, 1.99556085726161858e+00
49, 4.97152389000000028e-01, 1.34644057169955600e+00, 6.04163338353913837e-02, 5.00306274933490919e-03, 5.00250001920760951e+02, 1.22681885559925672e+03, 1.22631328198056826e+03, 3.38607514829625837e-06, 1.19921128643762642e-02, 9.11335533628313156e-05, 6.04163012879381928e-02, 1.36940255825583074e-02, 4.21963559403201391e-02, 3.05971464736961331e-02, 2.27833883407078594e-02, 2.02394761854153682e+00
50, 5.01362648000000077e-01, 1.36238104556054251e+00, 6.10952793906700195e-02, 5.00372150249600491e-03, 5.00250001920761008e+02, 1.22681780488247796e+03, 1.22631328063848150e+03, 3.46315093504878543e-06, 1.25116767191001243e-02, 9.26039449528053292e-05, 6.10952783140571165e-02, 1.40222836660030548e-02, 4.26829409322653855e-02, 3.13182817189742307e-02, 2.31509862382013286e-02, 2.05056123236065035e+00
51, 5.05573699000000043e-01, 1.37832151942152903e+00, 6.17457535977077310e-02, 5.00450674776087377e-03, 5.00250001920760894e+02, 1.22681674205292165e+03, 1.22631327939469202e+03, 3.54091066016165028e-06, 1.30679431483896377e-02, 9.40975870384072279e-05, 6.17456939760862716e-02, 1.43546078147359524e-02, 4.31595158657895675e-02, 3.20474422359355512e-02, 2.35243967596018080e-02, 2.07608111645142035e+00
52, 5.09673069999999950e-01, 1.39386348143599070e+00, 6.23515952392616063e-02, 5.00470200431983939e-03, 5.00250001920760951e+02, 1.22681569414548335e+03, 1.22631327823890433e+03, 3.61737438725785147e-06, 1.35279819479601163e-02, 9.55761572805615751e-05, 6.23513933098798212e-02, 1.46825491589422912e-02, 4.36149148457139965e-02, 3.27660760228094677e-02, 2.38940393201403992e-02, 2.09990134531229167e+00
53, 5.13801064000000030e-01, 1.40901689440009092e+00, 6.29189906557158507e-02, 5.00430165889868220e-03, 5.00250001920761008e+02, 1.22681466137550751e+03, 1.22631327703172087e+03, 3.69253249035004327e-06, 1.39014841006244363e-02, 9.70388416298870952e-05, 6.29186794915658626e-02, 1.50060334914133685e-02, 4.40602312002856614e-02, 3.34740423098895262e-02, 2.42597104074717337e-02, 2.12211462296628683e+00
54, 5.17959426000000001e-01, 1.42379147204008860e+00, 6.35769822440976351e-02, 5.00425525271072560e-03, 5.00250001920761179e+02, 1.22681364392333739e+03, 1.22631327555524763e+03, 3.76637835259569698e-06, 1.42019330099311513e-02, 9.84849268375965673e-05, 6.35768618213923831e-02, 1.53249970490755474e-02, 4.45211204749314249e-02, 3.41712248843151767e-02, 2.46212317093991405e-02, 2.14281097157438483e+00
55, 5.22156238999999966e-01, 1.43819668523908639e+00, 6.41922488906523092e-02, 5.00414584895792110e-03, 5.00250001920760837e+02, 1.22681264193665311e+03, 1.22631327417176271e+03, 3.83890795611000952e-06, 1.44435389044567947e-02, 9.99137777236547270e-05, 6.41922281864958089e-02, 1.56393858354997618e-02, 4.49694588428223990e-02, 3.48575304022268398e-02, 2.49784444309137030e-02, 2.16207544153880571e+00
56, 5.26239871000000026e-01, 1.45260189843808418e+00, 6.47810455646672667e-02, 5.00386042967662387e-03, 5.00250001920760781e+02, 1.22681163011748004e+03, 1.22631327289374190e+03, 3.91195241145308326e-06, 1.46432729670629043e-02, 1.01361292719638805e-04, 6.47810422821825521e-02, 1.59571399358683606e-02, 4.54086943132404677e-02, 3.55502840793470304e-02, 2.53403231799097170e-02, 2.18042941980983862e+00
57, 5.38059763999999996e-01, 1.46700711163708197e+00, 6.53428121294717251e-02, 5.00387262380897879e-03, 5.00250001920760951e+02, 1.22681060847818981e+03, 1.22631327162894604e+03, 3.98550259992249681e-06, 1.48940755173154801e-02, 1.02827434013117041e-04, 6.53427462864321629e-02, 1.62782684994542230e-02, 4.58388316492524539e-02, 3.62494641054048258e-02, 2.57068585032792229e-02, 2.19786350462890079e+00
58, 5.46138700999999949e-01, 1.48141232483607976e+00, 6.58770080832067478e-02, 5.00403348873610949e-03, 5.00250001920761122e+02, 1.22680957703152535e+03, 1.22631327032393665e+03, 4.05954848240775505e-06, 1.55510173274939160e-02, 1.04312154087404986e-04, 6.58768022579783868e-02, 1.66027808864688403e-02, 4.62602743559834620e-02, 3.69550480834125172e-02, 2.60780385218512337e-02, 2.21436609712027455e+00
59, 5.50278708000000005e-01, 1.49581753803507755e+00, 6.64018004236946319e-02, 5.00453176963055937e-03, 5.00250001920760894e+02, 1.22680853579060636e+03, 1.22631326878274376e+03, 4.13407942782045555e-06, 1.61490565163484208e-02, 1.05815424689450466e-04, 6.64015493935663781e-02, 1.69306866785474720e-02, 4.66788378498023404e-02, 3.76670130381853013e-02, 2.64538561723626497e-02, 2.22992198006771813e+00
60, 5.54429806000000025e-01, 1.51022275123407534e+00, 6.70199483089973930e-02, 5.00510624838411324e-03, 5.00250001920760837e+02, 1.22680748476893177e+03, 1.22631326716585272e+03, 4.20908448387858641e-06, 1.66863781521357571e-02, 1.07337244837753633e-04, 6.70198648410175735e-02, 1.72619956754716704e-02, 4.71064798540431415e-02, 3.83853354192401769e-02, 2.68343112094383829e-02, 2.24451202098554381e+00
61, 5.58843596999999970e-01, 1.52462796443307314e+00, 6.76085186323200638e-02, 5.00550240380140832e-03, 5.00250001920761065e+02, 1.22680642398038981e+03, 1.22631326546431978e+03, 4.28455248297597489e-06, 1.71619681235714062e-02, 1.08877630619350028e-04, 6.76085122539175631e-02, 1.75967178856718288e-02, 4.75607548467809893e-02, 3.91099910948857557e-02, 2.72194076548375047e-02, 2.25811455400860339e+00
62, 5.64107125000000043e-01, 1.53903317763207093e+00, 6.81671202154227329e-02, 5.00568385797061852e-03, 5.00250001920760724e+02, 1.22680535343925885e+03, 1.22631326362193340e+03, 4.36047207749612524e-06, 1.75737702601499873e-02, 1.10436597523722217e-04, 6.81671044979552387e-02, 1.79348635162114058e-02, 4.80225776112840411e-02, 3.98409553410797937e-02, 2.76091493809306164e-02, 2.27070783968797807e+00
63, 5.68483184999999946e-01, 1.55300186921897776e+00, 6.86799569868496163e-02, 5.00582465020633829e-03, 5.00250001920760837e+02, 1.22680430603888863e+03, 1.22631326158231741e+03, 4.43451108334466462e-06, 1.79071432589136131e-02, 1.11966038574478943e-04, 6.86798547336352205e-02, 1.82660415335926564e-02, 4.84597836320699582e-02, 4.05557699144755979e-02, 2.79915096436197317e-02, 2.28193957347001097e+00
64, 5.73072837000000002e-01, 1.56654726712143288e+00, 6.91501397197743367e-02, 5.00588988835312838e-03, 5.00250001920760724e+02, 1.22680328164627599e+03, 1.22631325927907301e+03, 4.50669105919884210e-06, 1.81603548425426677e-02, 1.13465779629627159e-04, 6.91498868296215319e-02, 1.85902765988885665e-02, 4.88724496225710486e-02, 4.12545434454163890e-02, 2.83664449074067654e-02, 2.29189692616775620e+00
